label,text,text_length,real_review
5,very nice and fitting ,4,1
5,delivery took 2 weeks item is quite cute and cheap will buy again if good,15,0
5,fast delivery and timely updates reliable product works well thumbs up  ,11,1
5,fast deliveryseller give two free packs of potato chips,9,0
5,nice colour and good quality,5,1
5,good material will buy other colors thanks seller ,8,1
5,bag seem a little smaller but over all is nice,10,1
5,well wrapped and authentic sealed as well thank you seller,10,1
5,although wait quite awhile but understood it covi situation well received still not use yet looks nice,17,0
5,nice sandal and good quality ,5,1
5,delivery took quite long but earliest as compared to other sellers thank u,13,0
5,works well charging right now with this i can play while charging  also it wont be so hot as compared to putting the console in the dock ,27,1
5,items received and very soft cloth  but couldnt see there 6 layer protection the cloth i can feel its just 1 layer ,22,0
5,same as picture good,4,1
5,i bought one size bigger as i have big hips thankfully it fits soft material and i like it,19,1
5,good quality and colour is the same as the picture shown in it,13,1
5,good product appropriate if shipping more faster takes over 2 weeks ,11,1
5,thanks for free gss pack ,5,0
5,fast delivery the price is super worth it lower than normal retail price,13,1
5,item delivered as expected,4,1
5,great quality quality was superb works very well on all surfaces,11,1
5,fast delivery and the machine is good for 15 min wash,11,1
5,great seller really like the polymailer fast shipping thank you,10,0
5,its good even not the color i want but its ok nice one,13,1
5,was well packaged but the delivery was abit long but its fine honestly the mochi taste better than the chocolate and the chocolate one wasnt given alot too ,28,1
5,received in good condition very fast delivery worth buying,9,0
5,fast delivery in a week thanks for the free gift extra sponge material is thick and good ,17,1
4,just received but yet to try hope that this is useful to relax my muscle after workout ,17,0
5,fits maclaren techno xt handles nicely stitching couldve been better ,10,1
5,perfect packaging qc checked all good 4 functions working well  im loving it highly recommended ,15,1
4,received fast have not tried yet hope it is nice,10,0
5,good product quality is not the best but its really cheap so cant complain,14,1
5,stickers were very cute and worth the price,8,1
5,came bubble wrapped and in a box looks premium and sturdy hope itll help with my dandruff issues,18,0
5,item packed in a thick styrofoam to prevent glass from breaking or crack good packagingreceived ard 1week plus sadly did not receive the camera protector that is stated,28,0
5,expiry date is long only expired at 2023 bird nest is those cheap cheap kind like cant really drink the nest but for this price nth to expect can just take it as a dessert drink ,36,1
5,item looks the same as shown worth the price and fast deliver,12,1
5,product received in very good condition,6,0
5,smooth delivery strudel came great and tasted yummy too thanks,10,1
5,like it fast delivery,4,0
5,items came as ordered i cant wait to get started thank you,12,0
5,arrived in good order although the delay is pretty massive  thanks anyway ,12,0
5,very cute its slightly bigger than usual cover but its too cute to care about that quality is good and price is cheap good buy,25,1
5,worth the price useful and will purchase from you again,10,1
5,ants ants ants ants ants everywhere i really hope this works hvnt tried,13,0
5,good quality with priceill buy it more,7,1
4,item received in good condition all is well but too big for my 19 months at this moment,18,1
5,happy with my purchase ,4,1
5,working product not bright enough but for the price paid cant complain ,12,1
5,very good blender comes with dry and wet mill jug and mill are made with glass although heavy but is easily clean high recommendation for this blender model ,28,1
5,ordered on 12 july and received on 14 july chose this seller cause of good reviews on delivery price is also cheaper than ntuc nice will repurchase ,27,1
5,received within 24hrs fast delivery,5,0
5,nice will order again,4,1
5,delivery took 1wk cheapest among everywhere worth it but need order when ur stock start running lowelse need wait,19,1
5,seller shipped out the next day and received in a few days super fast thanks,15,0
5,slow delivery and item seems small but overall great item thou ,11,1
5,item nicely packed ,3,0
5,waited for restock because i love the orchid design  its my second purchased delivery took about a week parcel was well packaged mask is really beautiful material is quite thin  soft ideal for sg weather price was affordable since its batik seller is also very nice to exchange my order ,50,1
5,been using this product great product and reliable seller on this site thanks,13,1
5,well packed thank you sellerbuying second set,7,0
5,code is received within minutes from buying highly recommended ,9,1
5,order came neatly packed in a box with bubble wrap earring is shiny and nice earring stopper is from plastic though seller gave 5 extra plastic stoppers and also free hair tie totally satisfied for a 099 purchase  thank you,40,1
5,super fast delivery box came with some dents but its ok as long as it is working yet to test though thanks seller,23,0
5,all in good condition ,4,1
5,bought it for my grandson as he loves jurassic dinosaur very much all pieces are received intact ,17,1
5,bought many times from here and love the quality as always,11,1
4,manage to order the photos online the price is 2490502190 shipping slightly costly due to the unexpected cost of 50 have yet to receive the item might edit my reviews and rate accordingly after depends on the quality,38,0
5,fast delivery looks good came in 6 days from order ,10,0
5,received within 2 days bubble wrapped and speedy delivery looks decent in quality thank you seller ,16,0
5,quite fast delivery tried item today was nice and refreshing,10,1
5,order received quite fast item is as shown good ,9,1
5,delivery wasnt too bad received within a week of ordering i like the material of the shirt ,17,1
5,received within a week good deal bought during flash sale for 3550,12,1
5,super fast deliveryhighly recommended   ,4,0
5,super cute material is not bad too worth it  i really like it thank you,15,1
5,order was nicely packaged and delivered to me i really like it as not only a affordable price but also its a very cute earpiece and conditions are good ,29,1
5,item was packed in bubble wrapped and was stated as fragile  super loveeee the smell item was shipped out asap too thank u will few repeat order ,27,1
5,ordered on 09 june night delivered 11 june after lunch authentic works as reviewed though at this point the amazfit app connection to strava is broken nothing to do with the seller recommended seller,34,1
5,nice and sturdy good buy ,5,1
5,items received in good conditionnicely packageddelivery was quite fast ,9,1
5,very well made pleasantly surprised,5,1
5,fast delivery from overseas under 10days item received in good condition bought from seller at a good price definately cheaper than local sellers in sg ,25,1
5,item arrived properly packaged looks true to picture and description,10,1
5,good quality stainless steel with leak proof cover,8,1
4,packaging changed hope the product is the same as i previously ordered,12,0
5,love this so cute and small and the retractable quality is really good cos the car moves really far,19,1
5,fast delivery  received in good condition thank you seller  ,9,0
5,the round ones are perfect ,5,1
5,shampoo came with free coffee sachets and was nicely packaged,10,0
4,nice wallet quality look good ,5,1
5,received everything in good condition have not played with it yet hope its fun for the kids,17,0
5,nice stretch good material will definately repurchase another item  love love love love it ,14,1
5,items received at this timing lucky at home items is super nice love it,14,1
5,item was as described and works without any problems tested on my iptv box and pc wifi card both working seller shipped item fast delivery took about 2weeks total last mile delivery with snail mail sing post takes forever,39,1
5,ordered on 275 received on 56 quite fast bought for a friend packaging is very pretty thanks for the free samples,21,0
5,bracelet is so beautiful value for money,7,1
5,material is nice  comfortable to wear straight cut not flared size is abit small should take one size up thanks ,20,1
5,received in good condition will buy from this seller again ,10,0
5,affordable product order arrived wrongly but shop quick in reply and exchange great service however i was not able to return the wrong order as i missed the courier happy with service and product delivery came in about a week,40,1
5,1 ordered on 2606 received on 2706 2 packed with lots of biodegradable air cushions in a box very well protected 3 mfg date is 200220 made in thailand 4 cream feels and smells amazing  but it reminds me of a shampoo slight tingling when first applied but thats just my skin,52,1
5,helping a friend to get it been buying from the seller thank you,13,0
5,dodos product is always good perfect to pair with porridge ,10,1
4,very fast delivery and tried out e triggers and it work well but the holder was too small for my iphone xr what a pity very nice of seller to include extra keychains thanks,34,1
5,items well packed and received thanks for the samples as well ,11,0
5,size is large enough to fit the oversized book which is larger than the a4 envelope,16,1
5,lovely dress,2,1
5,very good material and nice design to choose delivery took some time too delivery by speedpost thank you very much,20,0
5,great,1,1
5,item received in great condition used it once and it works perfectly well,13,1
5,toothbrushes were packed in a black plastic bag as shown but i cant complain as the toothbrushes are intact and not damaged i usually buy from venus but the shops are closed due to circuit breaker and the online venus doesnt sell delivery time was acceptable ,46,0
5,loving this purchase for someone who likes really hard firm pillow i am very satisfied with the item the only downside is the smell of the chicken feathers that is prolly used in the pillow prolly need to febreeze and hang it in open sun more often to rid of the smell,52,1
5,its beautiful seller was very prompt in confirming the order  arrived safe and sound in good condition ,17,1
5,shipping was fast price is reasonable too have not fix it yet hope quality is as described thank you seller ,20,0
5,neat set presented in a woven bag bought it during sale hope there will be more sale to come ,19,0
5,delivery took about a week the quality is smooth and thin not too hot for our weather the waistband of the pants is rather small though,26,1
5,received items in good condition but yet to try it hope it lasts,13,0
5,nice  i really like it and its the perfect size for my neck hehe,14,1
5,bought the game as a bundle together with the console so its cheaper the game is so fun and addictive ,20,1
5,works well and its really nice powered by battery ,9,1
5,ordered 1 and receiving the following day with other items ,10,0
5,ordered item on 15 may and received today on 20 may delivery is via ninja van and its really a reliable logistics provider seller was prompt in replies just started using and seems quite promising ,35,0
5,fast delivery tq for the freegift ,6,0
5,fast delivery product quality is also good i will buy again ,11,1
5,very good variety of stickers quality pretty good as well,10,1
5,pretty good camera just that it is hard to scope on certain angle ,13,1
5,really convenient and fast  used it on the spot very easy to use also and just present them the code in the email and youre all set,27,1
5,seller is very patient and understanding item in good conditions thank you,12,0
5,considered fast delivery given that it is shipped from china yet to test out the items,16,0
5,test able charge ,3,0
5,just received items are in good condition cant wait to try ,11,0
5,good quality wanna use it for projector but only works on my oppo reno zoom weird that its not working on oppo reno 1 and oppo reno 3 anyways 5 stars for gd working condition  ,35,1
5,exactly what i wanted and its already packed with batteries so i can use it immediately great ,17,1
5,item packed nicely  havent yet try thank you so much,10,0
5,comes properly packed in a big box will buy again if it works for my laundry thank you seller for proper packaging and prompt delivery trusted and professional seller thank you ,31,0
5,items were packed in bubble wrap and delivered fast my son loves it thank you,15,1
5,good quality bag item is exact to picture thank you seller ,11,1
4,item received but one of the lens left side is very loose and kept falling to the front but overall not bad ,22,1
5,nicely made very convenient to use use it almost everyday,8,1
5,very good buy easy to connect just plug into my laptop like a wireless mouse ,15,1
5,item received in good condition love it suits well with my baby cot ,13,1
5,item well received and delivery promptly yet to try  hope it works heard lots of good reviews for this will purchase again if it works thank you,27,0
5,they love it thats all matters great service and item is in good conditionawesome,14,1
5,delivery took a while to arrive product came well packaged and quality looks ok yet to use,16,0
5,recevied the socks in good condition tried it on the material feels good feels breathable thanks,16,1
5,well received  fast delivery ordered on 5th may and received on 8th may ,13,0
5,fast delivery within 1week,4,0
5,good quality it really works for myself recommended seller thanks my 2nd time buying,14,1
5,well received came in a box and bubble wrapped its a gift for friend hope she likes it ,18,0
5,ordered for the 2nd time for sensory play purposes aqua ball easy to disperse though but ok for price paid my son likes it,24,1
5,item came packaged in bubble wrap and was in good condition order took 9 days to arrive which was ok for me important to check compatibility if you are upgrading,30,0
5,if you want a cozy  esthetically pleasing bed room you should get this ,13,1
5,small but cute,3,1
5,package was delivered extremely fast and products came in great condition ,11,0
5,fast delivery and good buy ,5,1
5,really pretty colour and has glitter in it too  really happy with this purchase fast shipping too  excited to try,20,0
4,not the fastest delivery but quality not bad looks like the pic thanks,13,1
4,not too bad quality hope can last,7,1
5,items received in good condition and this time round the delivery was quite fast as i ordered 3 cartons seller informed that the delivery will come in 2 batches due to the weight limit repeat purchase from seller again ,39,0
5,thank you seller comes with free sample,7,0
5,still trying to figure of using it ,7,0
5,a very good quality buy i like it alot,9,1
5,fast delivery and had purchased two but one was sent by courier the other one was sent to letter box anyway the item is worth for its price thank you seller,31,1
5,yes the items quite ok quality  and shipping a bit long time  maybe because of the covid 19  anyway thanks you and ill come back shopping again ,27,1
5,currently using 1 of the 10 that came really useful since theres a duster at the cap love it,19,1
5,fast and efficient delivery managed to grab one box during flash deal hope seller will hold more of such flash deals thanks ,22,0
5,received in a week expiry date in 2022 thank you ,10,0
5,item received within 2 week second purchase satisfied with purchase ,10,0
5,responsive and helpful seller good product surely will buy from them again,12,1
5,nice rice cooker i have tried it awesome lovin it ,10,1
5,size 45 is actually small for my fat son so use as toy for youngest and relax for eldest,19,1
5,fast delivery good deal came nicely wrapped and working well thanks ,11,1
5,second time buying like that product to help oral hygiene ,10,0
5,second purchased fast delivery and items received in good condition,9,0
5,have not tried yet gotta use it for soldering pipe  electric hot air heating gun dual temperature  4 nozzles power tool set 2000w variation green eu 220v ,27,0
5,received in good condition,8,0
5,items received after 4 days and are packed nicely without leakage,11,1
5,tested all ok and good remember to screw uptighten up properly and tightly before turning on the tap no instruction given just try and error ur self should solve the leak problem for the price its really worth it but i dont think it will last long as its made of cheap plastic delivery long,55,1
5,received in very good condition expiry date in 2022 and thanks a lot for the free samples ,17,1
5,cute socks for the price arrived via normal mail in approx a week would recommend ,15,1
5,fast receipt and in good order ,6,0
5,item received in great conditionand fast delivery too thank u so much,12,0
5,super fast delivery ,3,0
5,decent timing for delivery the quality seems good despite the price its a little big for my daughter but i will wait it out to wear it for her will definitely order and recommend seller thank you ,37,1
5,yet to try but really cheap and affordable thank you so much,12,0
5,delivery was prompt and i managed to receive the item within a week item was also very well packed and secure,21,0
5,as per pic very comfortable looks good when worn strongly recommend for the price,14,1
5, delivery was pretty fast but its because i had to pay 150 for it ,14,0
5,package arrive in good condition,5,0
4,ordered 9 june arrived 19 june seller shipped out item really late took like 5 days to ship had to extend shopee guarantee but ninjavan was quick on delivery after,30,0
5,delivery was fast received as described seller is friendly and reply promptly ,12,0
5,lovely exactly like the picture received very quickly in mail with other earring i ordered ,15,1
5,fit me perfectly two pockets which come handy  its cotton material ,11,1
5,good cable long enough for my camera good packaging took sometime to come ,13,1
5,fast delivery and item received in good condition cost less than 102l after discount best deal so far,18,0
5,fast delivery good quality and sturdy ,6,1
5,fast delivery item quality looks good magnet was strong,9,1
5,dont need an amp to practice  perfect and very portable,10,1
5,pls give me a 5star review also,7,0
5,happy with the product delivery is okay overall will buy again ,11,1
4,very fast delivery and easy to use ,7,1
4,oversized  material quite thin can see thru under the light,10,1
5,looks good havent tried it yet,6,0
5,nice colour ,2,1
5,item recd in good order food item got abt 67 mths shelf life,13,0
5,received in order  good condition whole family waiting for these ts  same design,13,0
5,im enjoying it my first bluetooth earphone cant make any comparison with others ,13,0
5,easy to use very fast and fool proof expires in october haha will buy again,15,1
5,fast delivery and material is good fits the large puku bath tub,12,1
4,item received as displayed took a long time but anyway its overseas during c19 quality soso,16,1
5,item cake as per description  ,5,1
5,product is smaller than expected,5,0
5,receive and look same us the pic cannot wait to use and tk abt 1 week to delivered ,18,0
4,ok ,1,1
5,recommended by my friend worth buying if finished m will buy it again ,13,1
5,just received nicely packed yet to use hope it work as advertised,12,0
5,receive it in good condition with nice price as well tks seller ,12,1
5,repeated order plants always fresh and healthy fast delivery thanks seller ,11,1
5,item delivered just the container crack thanks,7,0
5,everything received as per description fast delivery thanks,8,1
5,very good mouse worth the 11 promo slightly thin and small compared to other gaming mouse might have to really see if the fit is right to your size as my friend with a bigger hand finds it too small for his liking,43,1
5,item was well packed in a carton box have not tried it yet hope its good,16,0
5,case is really pretty and quality is good as well good but overall ,13,1
5,broom came broken but seller immediately replaced great customer service ,10,0
5,overall is gd ,3,1
5,delivery took a week or so long expiry date sastified items came in bubble wrap,15,0
5,looks exactly like advertised the ear piercing a little dented but still can use ,14,1
5,material is good  cute,4,1
5,delivery was prompt code was authentic good value and customer service,11,1
5,nice thanks,2,1
5,item received in good condition hand written note and a few free stickers were a sweet touch would buy from them again ,22,1
5,send in box good condition havent tested yet hopefully its last long,12,0
5,thank you seller exact to pic v comfortable will buy again,11,1
5,item very well wrapped to prevent accidental scratches fast delivery too thank you,13,0
5,delivered within 2 days couldnt ask for more as advertised with the freebies coming out of from home finally after sg cb phase 2 finally announced burn some calories in the coming weeks,33,0
5,hand cream smells really nice and dry fast delivery is also really fast despite that its mailed from korea will defo buy again  ,23,1
5,items came in good condition very easy to install able to fit kitchen tap and also bathroom shower head stand seller also gave two plastic resealable clips as free gifts thank you,32,1
5,received in good condition no dent at all the plant really cute im in love with it recommended thank u seller ,21,1
5,got it the next day thank you so much thumbs up for seller for quick delivery ,16,0
5,good quality thanks ,3,1
5,very good product  everything was wrapped safely and all are well made  will buy from them againnn ,17,1
5,fast delivery  good fit,4,1
5,goodfddddddddd but slowwwwwwwwww haid ans no stock should say ,9,0
5,look at my floor so bright and clean thanks for the help ,12,1
5,received in good condition thanks sellers for the key chain ,10,0
5,received in good condition very cute and nice colour,9,1
5,the size a bit smaller than usual 36sz maybe because its not starchy enough but overall i like it might order 1 size bigger than usual panty very comfortable ,29,1
4,this set is quite worth it expiry is ok but noodle came all crushed so quite disappointed delivery took quite long too,22,0
5,speedy delivery will repurchase  ,4,0
5,second purchase colour exact to picture item was well packed as usual but this time singpost delivery via normal mail was really slow ,23,1
4,string abit too short,4,0
4,not bad arrived frozen however delivery was on monday evening instead of tues morning which i specified,17,0
5,best selller ,2,0
5,delivery was prompt the products are wrapped safely in a bubble wrap the products expire 3 years later and manufactured recently,21,0
5,received fast well packed best deal so far will buy again,11,1
5,item received in good condition friendly delivery lady cant wait to try thank u,14,0
5,fast and efficient received in good condition thank you,9,0
5,well packed and authentic product,5,1
5,fast shipping from korea received yesterday and its in good condition thank you seller,14,0
5,thankyou seller for the free gift  expired on 2023,9,0
5,wow ordered for my husband n son n i m v pleased with the quality for this price my son love it so i m here to reorder somemore ,29,1
5,surprised that iem received earlier than expected and with samples too thank you so much,15,0
5,colors vibrant than expected,4,1
5,love itthanks,2,1
5,good deal hope more good deal coming up,8,1
5,item was delivered promptly even during this covid situation it was properly packaged no dents the tray was thicker than i expected worth the price the wire rack perfectly fits my 10l oven thanks,34,1
5,well received the item today yet to open up n check hope it will be good,16,0
5,packaging was protected came in good condition it provides the sticker for dust removal and the wipes for removal of hand prints ,22,0
5,item arrived great fits perfectly matte finish like material ,9,1
5,fast delivery received in good condition bubble wrapped after 2 days seller messaged me on the day i ordered to inform me that the item is sent out received 2 free breast milk storage bags as a gift as well,40,0
5,colours exact to pictures soft and comfy to wear the stamp on the front cannot be removed but i dont mind it ,22,1
5,yet to try hope it works very small pack delivery quite fast ,12,0
5,come in good condition and fast delivery,7,0
5,good case ,2,1
5,the cake was super delicious thank you ,7,1
5,nice design and colour phone great spec at affordable price,10,1
4,the mesh came wrapped up and only slightly harmed at the sides overall good product,15,0
5,take sometime to receive else y everything id good as it is,12,1
5,well received with fast delivery within 2days thank you seller will purchase again thank you,15,0
5,finally received the parcel good condition,6,0
5,v good mopping becomes a breeze luv it highly recommended ,10,1
4,possibly the next best long pants i have ,8,1
5,supposedly 3 eggs inside but it was so air tight that it looked really small,15,1
4,expiry nov 2020 first time trying ,6,0
5,recieved in good condition can use this to take apple and potatoes peels,13,0
5,penghantaran yang pantas dan bungkusan yang amat baik akan order lagi o,12,0
5,items as described very shiny and nice,7,1
5,good product arrived after 2 weeks plus acceptable in this covid19 period ,12,0
5,items received safely an in good condition my second purchase its a useful items,14,1
5,fast delivery and friendly service  ,5,0
5, foldable laundry basket laundry basket storage basket household fabric storage bucket bathroom dirty clothes love the design of the laundry basket its steady and true to picture quality of the laundry is good and the price is reasonable will definitely buy again thank you for the fast delivery,48,1
5,not the material i was expecting but it still look good,11,1
5,receive in good condition even though one of the plastic glassware fall out from the broken plastic,17,0
5,some issue with the shirts but seller is fantastic  good service recovery overall pleased with the buying experience will buy again definitely,22,0
5,the small size just nice to place on top the plants ,11,1
5,super duper cute designs will be getting more in the future love it,13,1
5,love the items and the way the seller post it out ordered 3 tempered glass for front and a tempered glass for the back camera seller placed all the glasses in a styrofoam box and post it out great job to ensure items reaches me in good condition,48,1
5,received within 23 weeks by normal mail bought it during 099 flash sale quality is acceptable,16,1
5,item received in good condition it works perfectly but have to update manually for payloadbin via pc jig works fine overall im satisfied,23,1
5,fast delivery packed nicely,4,0
5,items well received delivery was fast too,7,0
5,repeated purchase convenient and easy to use when you need to clean surfaces or objects delivery was fast as usual think its my third order from the mart love how convenient it is to get everything online and delivered  ,39,1
4,great and will buy again,5,1
5,instant use  will buy again if needed,7,1
5,looks authentic and ninja guy good service too items not wrap in bubble and put it in box box looks fine ,21,1
5,item received yet to use its sure useful cut my kids hair and to use hair dye for myself,19,0
5,it looks very nice and is exactly what was advertised giving to ppl as gift ,15,1
5,exactly as per picdelivery cane 5 days after ordering,9,1
5, many repeated orders on this product  happy  satisfied will be back ,11,1
5,great seller even pack in a mini wasabi almond pack delivery was fast and smooth ,15,0
5,fast shipment and goods received in perfect condition,8,0
5,parcel was wrapped properly time taken to deliver was about a week or so which is fast considering theres a pandemic there were no dents on the boxes thank you ,30,0
5,good purchase material is soft and breathable fit my childs face securely thank you ,14,1
5,makes a great lowcalorie lowcarb snack not very salty which is good seller even threw in a free gift of freeze dried fruits thank you ,25,1
4,ordered 6520 shipped 14520 received 18520 drawers relatively straightforward to assemble some drawers not so easy to open and close but still alright,23,1
5,the product is good this is 2nd buy,8,1
5,really soft grass nice to walk and sit on it ,10,1
5,looks good product ,3,1
5,fixed nicely and photo quality not affected,7,1
5,item received exact as eta thank u so much the kids love its so much,15,1
5,fast deliver so cute lipstick,5,1
5,received in very good condition seller was a very good man when went way beyond his usual to ensure my item was delivered i will come back to his store just for his customer service thank you jerry,38,0
5,very very fast delivery all items well received in carton box ,11,0
5,received item within a week cute shirts with good soft material,11,1
5,item received and it is the same as picture shows,10,1
5,item came in bubbly wrap registered mail thank you for prompt delivery ,12,0
5,all colours are nice and well packed thanks,8,1
5,item delivered fast within 2 weeks item of good quality and correct to descriptions and pictures on page worth the price value for money came in with clipper too for easy installation,32,1
5,bought during the 099 flash deal very worth it looks pretty and elegant suitable for any occasion  ,17,1
5,good quality and worth the price the prints are very cute  ,11,1
5,very happy with purchase both good quality and price but not sure how much weight it can hold ,18,1
5,excellent service and goods ,4,1
5,tested and proven quality,4,1
5,great for the price soft material,6,1
5,good quality and adorable,4,1
5,bought at sale looks really good thank you seller,9,1
5,item received in good condition soft and smooth material ,9,1
5,item received in good condition is very small taste wise is ok ,12,1
5,recieved it well condition havent try yet but hope its working,11,0
4,smaller than expected but i guess i can do smth with this too ,13,1
5,nice t shirt seems authentic good buy,7,1
5,order for the second time reached in good condition no hassle thank you ,13,1
5,my dog spoilt it within a day but delivery was fast and the toy is super cute ,17,1
5,fast delivery have yet to try but reviews seem good value for money too ,14,0
5,very nice food very easy to redeem friendly staffs to take orders and calls delivery guy also very nice and prompt will order again highly recommended ,26,1
5,these masks are definitely one of the most breathable ones to go out in easy to wash  dries very quickly downside is that the loops will wear off after about 2 months of consistent usage ,35,1
5,item received in good condition thank you,7,0
5,items well wrapped no leakage ,5,0
5,quite speedy delivery products delivered wellpacked with free samples too thank you ,12,0
5,smells sweet colour brighter than expected but overall is good not tried ,12,0
5,received in good condition and will be keeping for future use when need to,14,0
5,item was hot when received gravy and horfun was packed separately ,11,0
5,true to pic  ,3,1
5,order received one box has 12 so i received two boxes of red the i ordered 20 blues they were loose pieces but adequately packed in bubble wrap ,28,0
5,great quality and feels really nice to touch ,8,1
5,comfortable speedy delivery despite normal mail worth it,8,0
5,one packet came missing but seller offer me voucher to offset next purchase so reorder again quality ok my gal loves it ,22,1
5,reliable seller will continue to support seller excellent communication tks,10,0
5,ok thanks seller,3,0
5,books arrived very well packed cant wait to read them to my little one sight words set comes with a teaching guide as well havent opened sight words one as baby is only one month now,36,1
5,the dough cutter looks good i love the colour cant wait to use it,14,0
5,fast delivery from china japan export set thick bubble wrap but box still wrecked ,14,0
5,good customer service easy to use happy buy ,8,0
5,nicely wrapped hope its works per description  ,7,1
5,bag is smaller than expected but its nice  delivery is very fast ,12,1
5,seller gave a nice practical gift that came with the award winning for innovation ear piece well thought out design ,20,0
5,item receive fast but buyer no response ,7,0
5,lovely pencil case,3,1
5,2nd mobile purchase with them aaaaa seller,7,0
5,items as described have yet to use it delivery is quite fast too,13,0
5,nice and cute hello kitty the colour is bright and vibrant ,11,1
5,material abit thin hope doesnt shrink after wash overall seems ok,11,1
5,great deal high quality highly recommended,6,1
5,its very pretty the colour is so nice hopefully doesnt fade when i wash few times ,16,1
4,came in fast have yet to try it but size more to small,13,0
5,2nd day delivery ,3,0
5,very high quality n value for money,7,1
5,great seller and fast delivery thank you,7,0
5,inside bag opening hole is too small guess have to find something else that fit in the actual bag,19,0
5,item arrived without damagethanks seller for the item and courier for delivering the items fast during the covid19 cn,19,0
5,looks just like what it is in the picture item came nicely wrapped,13,1
5,as as picture ,3,1
5,received in gd condition great value buy  will purchase again this smells gd,13,0
5,item received in good condition well shrink wrap each drawer very clean good price and recommended for organizing wardrobe ,19,1
5,cute bowl design and fast response from seller would recommend,10,1
5,fit perfectly nice skirt and is comfortable,7,1
5,comfortable ,1,1
5,very beautiful and decent quality ,5,1
5,i have received in time and notebooks are as expected thank you for sticker gift,15,1
5,got lesser than current coverage disappointed ,6,0
5,very fast delivery took only 2days to deliver very cooling,10,0
5,everything was fresh and good  i started panicking cuz i ordered very last minute but they still came on time  thanks ,21,1
4,smaller than usual sunsilk conditioners as its only 450ml wished that it had bigger size,15,0
5,received within a week material is soft and comfy size is just nice its a good buy,17,1
5,received quickly and all wrapped in good condition good pricing,10,1
5,assembly was quite intuitive came with 2 plastic gaskets of different diameters for the clamp to prevent scratches on handlebar,20,1
4,hv just received bought twice good,6,1
5,the box was quite sturdy but i did not open it yet as i will be bringing it overseas,19,0
5,ordered on 3th received on 12th smaller than i expected but its really good for its price and the printing quality is good too,24,1
5,looks gd but small ,4,1
5,item received as describe havent try yet but it llols authentic and hope effective,14,0
5,nice tshirtbut not my actual xl sizehaha,7,1
5,happy with the purchase,4,1
5,extremely worth it for the price its a very portable form factor for its capacity and highly recommend it to anyone,21,1
5,second time buying  love how spacious it is  definitely very useful and worth your money ,15,1
5,first time buying this hair dye looking forward to see if the colour will turn out nice,17,0
5,omg the clip are so pretty and cute and item is packed nicely very nice i like it so much ,20,1
5,fast delivery n good condition ,5,0
5,received item promptly soft material so can add disposable mask in between,12,1
5,delivery was fast  it took about a week the shoes are comfortable ,12,1
5,item arrived in great condition no defects whatsoever bought it for my sister and she said that this product is really soothing for irritateditchy skin,25,1
5,great product and fast delivery service highly recomend,8,1
5,got the item within 14 days and came to my doorstep packed properly and when i opened it was in a sanitary and sterile package which o avery good and all the rollers are intact and ive already tried using it its awesome will definately repurchase ,46,1
